Type,Variable,,Num. (N=210),%
"Dependent variable, cognitive impairment of COVID-19",MoCA-INA status of cognitive impairment,CI negative,120,57.1
,,CI positive,90,42.9
Independent variable,COVID-19,Mild COVID-19 in the past year,166,79
,,Moderate-to-severe COVID-19 at any time or mild COVID-19 within the past year,44,21
,COVID-19 vaccination,Never received COVID-19 vaccination,17, 8.1
,,Received the first dose of COVID-19 vaccine after their COVID-19,28,13.3
,,Received the first dose of COVID-19 vaccine before COVID infection,165,78.6
Memory-dependent covariate,Age at COVID-19 diagnosis (year),<20,5, 2.38
,,20-29,42,20.00
,,30-39,40,19.05
,,40-49,47,22.38
,,50-59,44,20.95
,,60-69,23,10.95
,,70-79,6, 2.86
,,80-89,3, 1.43
,Previous COVID-19 infection,1 time,183,87.143
,,2 times,22,10.476
,,3 times,3, 1.429
,,4 times,2, 0.952
,Length of stay,0 day,167,79.5
,,1+ day(s),43,20.5
,Cigarette smoking duration,1+ year(s),30,14.3
,,<1 year,180,85.7
,Chronic obstructive pulmonary disease at COVID-19 diagnosis,No,189,90
,,Yes,21,10
,Cardiovascular diseases at COVID-19 diagnosis,No,186,88.6
,,Yes,24,11.4
,Depression at COVID-19 diagnosis,No,204,97.14
,,Yes,6, 2.86
,Diabetes mellitus at COVID-19 diagnosis,No,185,88.1
,,Yes,25,11.9
,Dyslipidemia at COVID-19 diagnosis,No,196,93.33
,,Yes,14, 6.67
,Hypertension at COVID-19 diagnosis,No,170,81
,,Yes,40,19
,Obesity at COVID-19 diagnosis,No,194,92.38
,,Yes,16, 7.62
,Stroke at COVID-19 diagnosis,No,206,98.1
,,Yes,4, 1.9
,Other comorbidities at COVID-19 diagnosis,No,174,82.9
,,Yes,36,17.1
,Body ache at COVID-19 diagnosis,No,100,47.6
,,Yes,110,52.4
,Cough at COVID-19 diagnosis,No,60,28.6
,,Yes,150,71.4
,Diarrhea at COVID-19 diagnosis,No,183,87.1
,,Yes,27,12.9
,Dyspnea at COVID-19 diagnosis,No,141,67.1
,,Yes,69,32.9
,Fever at COVID-19 diagnosis,No,59,28.1
,,Yes,151,71.9
,Loss of smell at COVID-19 diagnosis,No,117,55.7
,,Yes,93,44.3
,Nausea/vomiting at COVID-19 diagnosis,No,159,75.7
,,Yes,51,24.3
,Sore throat at COVID-19 diagnosis,No,139,66.2
,,Yes,71,33.8
,Other symptoms at COVID-19 diagnosis,No,167,79.5
,,Yes,43,20.5
Memory-independent covariate,City/regency,Yogyakarta,31,14.76
,,Bantul,59,28.10
,,Sleman,91,43.33
,,Kulon Progo,10, 4.76
,,Gunung Kidul,19, 9.05
,Area,Urban,48,22.9
,,Rural,162,77.1
,Age at data collection (year),<20,1, 0.476
,,20-29,40,19.048
,,30-39,39,18.571
,,40-49,49,23.333
,,50-59,44,20.952
,,60-69,25,11.905
,,70-79,9, 4.286
,,80-89,2, 0.952
,,90+,1, 0.476
,Sex,Male,80,38.1
,,Female,130,61.9
,Educational status,College,127,60.48
,,Senior High School,51,24.29
,,Primary/Junior High School,27,12.86
,,Never school,5, 2.38
,Marital status,Unmarried,35,16.67
,,Married,158,75.24
,,Widowed,12, 5.71
,,Divorced,5, 2.38
,Occupational status,Unemployed,48,22.86
,,Student,7, 3.33
,,Public servant,47,22.38
,,White-collar employee,47,22.38
,,Blue-collar employee,7, 3.33
,,Self-employee,26,12.38
,,Other occupation,28,13.33
,Cigarette smoking status,No,191,90.95
,,Yes,19, 9.05
,Body mass index classification,Underweight,14, 6.67
,,Normal,105,50.00
,,Overweight,61,29.05
,,Obesity,30,14.29
