Type,Variable,,"Batch 1
(n=90)","Batch 2
(n=210)",p-value
"Dependent variable, cognitive impairment of COVID-19",MoCA-INA status of cognitive impairment,0 - n (%),49 (54.44),120 (57.14),>0.05
,,1 - n (%),41 (45.56),90 (42.86),>0.05
"Dependent variable, post-acute sequelae of COVID-19",Breathing score,0 - n (%),59 (65.56),150 (71.43),>0.05
,,>0 - Med. (min.-max.),"11.76 (5.88, 76.47)","11.76 (5.88, 58.82)",>0.05
,Pain score,0 - n (%),57 (63.33),160 (76.19),0.028
,,>0 - Med. (min.-max.),"16.67 (8.33, 50.00)","16.67 (8.33, 50.00)",0.028
,Circulation score,0 - n (%),63 (70.00),150 (71.43),>0.05
,,>0 - Med. (min.-max.),"18.18 (9.09, 54.55)","9.09 (9.09, 45.45)",>0.05
,Fatigue score,0 - n (%),39 (43.33),96 (45.71),>0.05
,,>0 - Med. (min.-max.),"16.67 (8.33, 100.00)","16.67 (8.33, 66.67)",>0.05
,"Memory, thinking, and communication score",0 - n (%),46 (51.11),103 (49.05),>0.05
,,>0 - Med. (min.-max.),"13.33 (3.33, 60.00)","10.00 (3.33, 73.33)",>0.05
,Movement score,0 - n (%),68 (75.56),180 (85.71),0.019
,,>0 - Med. (min.-max.),"33.33 (11.11, 66.67)","11.11 (11.11, 66.67)",0.019
,Sleep score,0 - n (%),47 (52.22),137 (65.24),0.021
,,>0 - Med. (min.-max.),"33.33 (8.33, 75.00)","25.00 (8.33, 75.00)",0.021
,"Ear, nose, and throat score",0 - n (%),45 (50.00),121 (57.62),>0.05
,,>0 - Med. (min.-max.),"10.53 (2.63, 68.42)","7.89 (2.63, 44.74)",>0.05
,Stomach and digestion score,0 - n (%),54 (60.00),137 (65.24),>0.05
,,>0 - Med. (min.-max.),"10.00 (5.00, 50.00)","10.00 (5.00, 75.00)",>0.05
,Muscle and joints score,0 - n (%),45 (50.00),104 (49.52),>0.05
,,>0 - Med. (min.-max.),"11.11 (3.70, 48.15)","7.41 (3.70, 44.44)",>0.05
,Mental health and wellbeing score,0 - n (%),34 (37.78),54 (25.71),>0.05
,,>0 - Med. (min.-max.),"17.39 (4.35, 60.87)","17.39 (4.35, 73.91)",>0.05
,Skin and hair score,0 - n (%),47 (52.22),114 (54.29),>0.05
,,>0 - Med. (min.-max.),"16.67 (5.56, 194.44)","16.67 (5.56, 83.33)",>0.05
,Eyes score,0 - n (%),57 (63.33),136 (64.76),>0.05
,,>0 - Med. (min.-max.),"10.00 (5.00, 45.00)","10.00 (5.00, 45.00)",>0.05
,Reproductive and sexual health score,0 - n (%),64 (71.11),158 (75.24),>0.05
,,>0 - Med. (min.-max.),"15.38 (7.69, 80.00)","15.38 (7.69, 100.00)",>0.05
,Other symptoms score,0 - n (%),42 (46.67),124 (59.05),>0.05
,,>0 - Med. (min.-max.),"5.26 (2.63, 36.84)","7.89 (2.63, 31.58)",>0.05
,Impact on daily life score,0 - n (%),60 (66.67),155 (73.81),>0.05
,,>0 - Med. (min.-max.),"25.00 (4.17, 87.50)","20.83 (4.17, 75.00)",>0.05
Independent variable,COVID-19,0 - n (%),29 (32.22),122 (58.10),<0.001
,,1 - n (%),52 (57.78),43 (20.48),<0.001
,COVID-19 vaccination,0 - n (%),24 (26.67),17 (8.10),<0.001
,,1 - n (%),3 (3.33),28 (13.33),<0.001
,,2 - n (%),63 (70.00),165 (78.57),<0.001
"Independent variable, indicator",COVID-19 severity,Mild - n (%),47 (52.22),178 (84.76),<0.001
,,Moderate - n (%),38 (42.22),29 (13.81),<0.001
,,Severe - n (%),5 (5.56),3 (1.43),<0.001
,Diagnosis-to-collection time (year),Avg. (95% CI),"1.30 (1.18, 1.42)","1.66 (1.57, 1.74)",<0.001
