Type,Variable,,"Cluster 1
(n=156)","Cluster 2
(n=43)","Cluster 3
(n=11)",p-value
"Dependent variable, cognitive impairment of COVID-19",Delayed recall,0 - n (%),14 (8.97),1 (2.33),1 (9.09),>0.05
,,1 - n (%),21 (13.46),2 (4.65),0 (0.00),>0.05
,,2 - n (%),23 (14.74),6 (13.95),2 (18.18),>0.05
,,3 - n (%),31 (19.87),9 (20.93),4 (36.36),>0.05
,,4 - n (%),32 (20.51),13 (30.23),1 (9.09),>0.05
,,5 - n (%),35 (22.44),12 (27.91),3 (27.27),>0.05
"Dependent variable, post-acute sequelae of COVID-19","Memory, thinking, and communication score",0 - n (%),95 (60.90),8 (18.60),0 (0.00),<0.001
,,>0 - Med. (min.-max.),"6.67 (3.33, 30.00)","13.33 (3.33, 60.00)","33.33 (13.33, 73.33)",<0.001
Independent variable,COVID-19,0 - n (%),88 (56.41),26 (60.47),8 (72.73),>0.05
,,1 - n (%),34 (21.79),7 (16.28),2 (18.18),>0.05
,COVID-19 vaccination,0 - n (%),13 (8.33),3 (6.98),1 (9.09),<0.001
,,1 - n (%),12 (7.69),11 (25.58),5 (45.45),<0.001
,,2 - n (%),131 (83.97),29 (67.44),5 (45.45),<0.001
Memory-dependent covariate,Previous COVID-19 infection,1 - n (%),138 (88.46),36 (83.72),9 (81.82),>0.05
,,2 - n (%),14 (8.97),6 (13.95),2 (18.18),>0.05
,,3 - n (%),2 (1.28),1 (2.33),0 (0.00),>0.05
,,4 - n (%),2 (1.28),0 (0.00),0 (0.00),>0.05
,Length of stay,0 - n (%),121 (77.56),37 (86.05),9 (81.82),>0.05
,,>0 - Med. (min.-max.),"7.00 (1.00, 20.00)","14.00 (5.00, 19.00)","8.50 (3.00, 14.00)",>0.05
,Age at COVID-19 diagnosis (year),Avg. (95% CI),"46.76 (44.10, 49.41)","36.47 (31.30, 41.64)","37.48 (29.30, 45.66)",0.001
,Cigarette smoking duration,0 - n (%),130 (83.33),38 (88.37),10 (90.91),>0.05
,,>0 - Med. (min.-max.),"15.00 (2.00, 30.00)","5.00 (1.00, 48.00)","25.00 (25.00, 25.00)",>0.05
,Chronic obstructive pulmonary disease at COVID-19 diagnosis,0 - n (%),145 (92.95),33 (76.74),11 (100.00),0.009
,,1 - n (%),11 (7.05),10 (23.26),0 (0.00),0.009
,Cardiovascular diseases at COVID-19 diagnosis,0 - n (%),139 (89.10),39 (90.70),8 (72.73),>0.05
,,1 - n (%),17 (10.90),4 (9.30),3 (27.27),>0.05
,Depression at COVID-19 diagnosis,0 - n (%),154 (98.72),42 (97.67),8 (72.73),0.002
,,1 - n (%),2 (1.28),1 (2.33),3 (27.27),0.002
,Diabetes mellitus at COVID-19 diagnosis,0 - n (%),137 (87.82),38 (88.37),10 (90.91),>0.05
,,1 - n (%),19 (12.18),5 (11.63),1 (9.09),>0.05
,Dyslipidemia at COVID-19 diagnosis,0 - n (%),145 (92.95),40 (93.02),11 (100.00),>0.05
,,1 - n (%),11 (7.05),3 (6.98),0 (0.00),>0.05
,Hypertension at COVID-19 diagnosis,0 - n (%),126 (80.77),36 (83.72),8 (72.73),>0.05
,,1 - n (%),30 (19.23),7 (16.28),3 (27.27),>0.05
,Obesity at COVID-19 diagnosis,0 - n (%),146 (93.59),38 (88.37),10 (90.91),>0.05
,,1 - n (%),10 (6.41),5 (11.63),1 (9.09),>0.05
,Stroke at COVID-19 diagnosis,0 - n (%),153 (98.08),43 (100.00),10 (90.91),>0.05
,,1 - n (%),3 (1.92),0 (0.00),1 (9.09),>0.05
,Other comorbidities at COVID-19 diagnosis,0 - n (%),132 (84.62),34 (79.07),8 (72.73),>0.05
,,1 - n (%),24 (15.38),9 (20.93),3 (27.27),>0.05
,Body ache at COVID-19 diagnosis,0 - n (%),82 (52.56),17 (39.53),1 (9.09),0.009
,,1 - n (%),74 (47.44),26 (60.47),10 (90.91),0.009
,Cough at COVID-19 diagnosis,0 - n (%),45 (28.85),13 (30.23),2 (18.18),>0.05
,,1 - n (%),111 (71.15),30 (69.77),9 (81.82),>0.05
,Diarrhea at COVID-19 diagnosis,0 - n (%),140 (89.74),33 (76.74),10 (90.91),>0.05
,,1 - n (%),16 (10.26),10 (23.26),1 (9.09),>0.05
,Dyspnea at COVID-19 diagnosis,0 - n (%),109 (69.87),28 (65.12),4 (36.36),>0.05
,,1 - n (%),47 (30.13),15 (34.88),7 (63.64),>0.05
,Fever at COVID-19 diagnosis,0 - n (%),49 (31.41),10 (23.26),0 (0.00),0.045
,,1 - n (%),107 (68.59),33 (76.74),11 (100.00),0.045
,Loss of smell at COVID-19 diagnosis,0 - n (%),94 (60.26),19 (44.19),4 (36.36),>0.05
,,1 - n (%),62 (39.74),24 (55.81),7 (63.64),>0.05
,Nausea/vomiting at COVID-19 diagnosis,0 - n (%),127 (81.41),29 (67.44),3 (27.27),<0.001
,,1 - n (%),29 (18.59),14 (32.56),8 (72.73),<0.001
,Sore throat at COVID-19 diagnosis,0 - n (%),116 (74.36),18 (41.86),5 (45.45),<0.001
,,1 - n (%),40 (25.64),25 (58.14),6 (54.55),<0.001
,Other symptoms at COVID-19 diagnosis,0 - n (%),130 (83.33),30 (69.77),7 (63.64),0.049
,,1 - n (%),26 (16.67),13 (30.23),4 (36.36),0.049
Memory-independent covariate,City/regency,Yogyakarta - n (%),23 (14.74),4 (9.30),4 (36.36),>0.05
,,Bantul - n (%),43 (27.56),13 (30.23),3 (27.27),>0.05
