old_colname,new_colname
id,id
Timestamp,timestamp
Kabupaten,regency
Wilayah tempat tinggal,area
Tanggal lahir,birth_date
Jenis kelamin,sex
Pendidikan Terakhir,education
Pekerjaan,occupation
Status pernikahan,marriage
Berapa kali anda terinfeksi oleh COVID-19,prev_inf
Tanggal berapa terdiagnosis COVID-19,inf_date
Riwayat penyakit saat menderita COVID-19,medical_history
Gejala yang dirasakan saat terkonfirmasi COVID-19,symptom
"Klasifikasi tingkat keparahan COVID-19 
Apakah pada saat sakit COVID-19 mengalami hal berikut",severity
"Jika dirawat di Rumah Sakit, berapa lama anda dirawat (tulis 0 jika tidak pernah dirawat)",los
Apakah anda merokok,cig_smoking
Jika merokok sudah berapa lama anda merokok,cig_smoking_d
"Sebelum terinfeksi COVID-19, apakah sudah mendapatkan vaksinasi",vaccine
Berapa banyak dosis vaksinasi COVID-19 yang sudah anda lakukan hingga hari ini,vaccine_dosage
Berat badan saat ini,weight
Tinggi badan saat ini,height
"Dalam 7 hari terakhir, seberapa parah sesak napas (kesulitan bernapas) yang Anda rasakan saat duduk?",shortness_of_breath_sitting
"Dalam 7 hari terakhir, seberapa parah sesak napas (kesulitan bernapas) yang Anda rasakan saat menaiki tangga?",shortness_of_breath_climbing
"Dalam 7 hari terakhir, seberapa parah sesak napas (kesulitan bernapas) yang Anda rasakan saat Anda dalam posisi tidur?",shortness_of_breath_lying
"Dalam 7 hari terakhir, apakah Anda pernah terbangun di malam hari karena sesak napas?",shortness_of_breath_wakeup
"Dalam 7 hari terakhir, apakah Anda pernah bernapas lebih cepat dari biasanya?",breathing_faster
"Dalam 7 hari terakhir, seberapa parah rasa sesak di dada yang Anda rasakan?",chest_tightness
"Dalam 7 hari terakhir, seberapa parah mengi (napas berbunyi) yang Anda rasakan?",wheezing
Skor Mentah Skala Pernafasan,breathing_score
"Dalam 7 hari terakhir, seberapa parah nyeri dada yang pernah Anda rasakan?",chest_pain
"Dalam 7 hari terakhir, seberapa parah rasa sakit saat bernapas yang pernah Anda rasakan?",breath_pain
"Dalam 7 hari terakhir, seberapa parah rasa sakit yang Anda rasakan pada bagian tubuh yang terasa sakit paling parah?",stabbing_pain
"Dalam 7 hari terakhir, seberapa parah rasa nyeri seperti ditusuk-tusuk atau nyeri yang terasa panas/kemranyas yang Anda rasakan di bagian tubuh mana pun yang terasa sakit paling parah?",burning_pain
Skor Mentah Skala Nyeri,pain_score
"Dalam 7 hari terakhir, seberapa parah palpitasi (merasa jantung Anda berdebar-debar) yang pernah Anda rasakan?",palpitation
"Dalam 7 hari terakhir, apakah Anda pernah pingsan?",lightheaded
"Dalam 7 hari terakhir, seberapa parah rasa pusing yang Anda rasakan saat berdiri?",dizzy_standing
"Dalam 7 hari terakhir, seberapa parah pembengkakan tungkai dan/atau kaki yang Anda rasakan?",swelling_leg_feet
"Dalam 7 hari terakhir, apakah Anda pernah mengalami tangan/kaki dingin yang berlangsung lebih lama atau lebih dingin dari biasanya?",cold_hand_feet
Skor Mentah Skala Sirkulasi,circulation_score
"Dalam 7 hari terakhir, seberapa parah kelelahan yang pernah Anda rasakan (perasaan lelah fisik atau mental yang tidak membaik dengan istirahat) pada kondisi terburuk Anda?",fatigue
"Dalam 7 hari terakhir, seberapa parah energi Anda berkurang (tertarik dan ingin melakukan sesuatu tetapi tidak memiliki energi)?",low_energy
"Dalam 7 hari terakhir, seberapa parah rasa lelah (kebutuhan untuk tidur) yang pernah Anda rasakan pada kondisi terburuk Anda?",tiredness
"Dalam 7 hari terakhir, seberapa parah gejala Anda memburuk setelah melakukan aktivitas fisik atau mental pada kondisi paling buruk?",post_activity_worsening
Skor Mentah Skala Kelelahan,fatique_score
"Dalam 7 hari terakhir, seberapa parah Anda sulit untuk mengingat hal-hal yang paling buruk?",remembering
"Dalam 7 hari terakhir, seberapa parah ingatan Anda hilang?",memory_loss
"Dalam 7 hari terakhir, seberapa parah Anda sulit fokus dan konsentrasi (merasa lemot, bingung, atau blank)?",brain_fog
"Dalam 7 hari terakhir, seberapa sering Anda merasa bingung dengan apa yang terjadi di sekitar Anda?",confusion
"Dalam 7 hari terakhir, seberapa sering Anda mengalami kesulitan berkonsentrasi?",concentrating
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda dalam merencanakan sesuatu?",planning
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda dalam menemukan kata (tidak dapat memikirkan kata yang ingin Anda ucapkan atau tulis)?",word_finding
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda memahami perkataan orang lain?",understanding
"Dalam 7 hari terakhir, seberapa parah Anda cadel dalam berbicara?",speaking
"Dalam 7 hari terakhir, seberapa parah Anda mengalami kesulitan membaca (Tidak terkait dengan disleksia)?",reading
"Skor Mentah Skala Ingatan, Pikiran & Komunikasi:",memory_thinking_communication_score
"Dalam 7 hari terakhir, seberapa parah tremor (guncangan atau gemetar yang tidak terkendali pada sebagian tubuh Anda) yang pernah Anda rasakan?",tremor
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda dalam menjaga keseimbangan tubuh?",balance
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda dalam bergerak dan berkoordinasi?",coordination
Skor Mentah Skala Gerakan,movement_score
"Dalam 7 hari terakhir, seberapa sering Anda mengalami masalah tidur?",sleep_prob
"Dalam 7 hari terakhir, seberapa sering Anda tidur lebih singkat dari biasanya?",sleep_short
"Dalam 7 hari terakhir, seberapa sering tidur Anda terganggu?",sleep_interupt
"Dalam 7 hari terakhir, seberapa sering Anda tidur lebih lama dari biasanya?",sleep_long
Skor Mentah Skala Tidur,sleep_score
"Dalam 7 hari terakhir, seberapa parah Anda mengalami perubahan indera penciuman (makanan/benda yang berbau berbeda dari biasanya)?",altered_smell
"Dalam 7 hari terakhir, seberapa parah perubahan indera perasa Anda (makanan terasa berbeda dari biasanya)?",altered_taste
"Dalam 7 hari terakhir, seberapa parah bersin yang Anda alami?",sneezing
"Dalam 7 hari terakhir, seberapa parah hidung Anda terasa pengap atau lebih berair dari biasanya?",runny_nose
"Dalam 7 hari terakhir, seberapa parah Anda mengalami hidung tersumbat (rasa tidak nyaman atau rasa 'penuh' di sekitar hidung, pipi, dahi, atau di sekitar mata)?",sinus_congestion
"Dalam 7 hari terakhir, seberapa parah produksi lendir (dahak) yang Anda rasakan?",phlegm
"Dalam 7 hari terakhir, seberapa parah batuk yang Anda rasakan?",cough
"Dalam 7 hari terakhir, seberapa parah sakit tenggorokan yang Anda rasakan?",sore_throat
"Dalam 7 hari terakhir, seberapa parah suara serak yang Anda alami (perubahan kualitas suara Anda)?",hoarse_voice
"Dalam 7 hari terakhir, apakah Anda mengalami kesulitan menelan makanan atau minuman?",swallowing
"Dalam 7 hari terakhir, seberapa parah sakit telinga (nyeri telinga) yang pernah Anda rasakan?",ear_pain
"Dalam 7 hari terakhir, apakah Anda pernah mengalami keluhan gangguan pendengaran?",hearing_loss
