old_colname
id
Timestamp
Kabupaten
Wilayah tempat tinggal
Tanggal lahir
Jenis kelamin
Pendidikan Terakhir
Pekerjaan
Status pernikahan
Berapa kali anda terinfeksi oleh COVID-19
Tanggal berapa terdiagnosis COVID-19
Riwayat penyakit saat menderita COVID-19
Gejala yang dirasakan saat terkonfirmasi COVID-19
"Klasifikasi tingkat keparahan COVID-19 
Apakah pada saat sakit COVID-19 mengalami hal berikut"
"Jika dirawat di Rumah Sakit, berapa lama anda dirawat (tulis 0 jika tidak pernah dirawat)"
Apakah anda merokok
Jika merokok sudah berapa lama anda merokok
"Sebelum terinfeksi COVID-19, apakah sudah mendapatkan vaksinasi"
Berapa banyak dosis vaksinasi COVID-19 yang sudah anda lakukan hingga hari ini
Berat badan saat ini
Tinggi badan saat ini
"Dalam 7 hari terakhir, seberapa parah sesak napas (kesulitan bernapas) yang Anda rasakan saat duduk?"
"Dalam 7 hari terakhir, seberapa parah sesak napas (kesulitan bernapas) yang Anda rasakan saat menaiki tangga?"
"Dalam 7 hari terakhir, seberapa parah sesak napas (kesulitan bernapas) yang Anda rasakan saat Anda dalam posisi tidur?"
"Dalam 7 hari terakhir, apakah Anda pernah terbangun di malam hari karena sesak napas?"
"Dalam 7 hari terakhir, apakah Anda pernah bernapas lebih cepat dari biasanya?"
"Dalam 7 hari terakhir, seberapa parah rasa sesak di dada yang Anda rasakan?"
"Dalam 7 hari terakhir, seberapa parah mengi (napas berbunyi) yang Anda rasakan?"
Skor Mentah Skala Pernafasan
"Dalam 7 hari terakhir, seberapa parah nyeri dada yang pernah Anda rasakan?"
"Dalam 7 hari terakhir, seberapa parah rasa sakit saat bernapas yang pernah Anda rasakan?"
"Dalam 7 hari terakhir, seberapa parah rasa sakit yang Anda rasakan pada bagian tubuh yang terasa sakit paling parah?"
"Dalam 7 hari terakhir, seberapa parah rasa nyeri seperti ditusuk-tusuk atau nyeri yang terasa panas/kemranyas yang Anda rasakan di bagian tubuh mana pun yang terasa sakit paling parah?"
Skor Mentah Skala Nyeri
"Dalam 7 hari terakhir, seberapa parah palpitasi (merasa jantung Anda berdebar-debar) yang pernah Anda rasakan?"
"Dalam 7 hari terakhir, apakah Anda pernah pingsan?"
"Dalam 7 hari terakhir, seberapa parah rasa pusing yang Anda rasakan saat berdiri?"
"Dalam 7 hari terakhir, seberapa parah pembengkakan tungkai dan/atau kaki yang Anda rasakan?"
"Dalam 7 hari terakhir, apakah Anda pernah mengalami tangan/kaki dingin yang berlangsung lebih lama atau lebih dingin dari biasanya?"
Skor Mentah Skala Sirkulasi
"Dalam 7 hari terakhir, seberapa parah kelelahan yang pernah Anda rasakan (perasaan lelah fisik atau mental yang tidak membaik dengan istirahat) pada kondisi terburuk Anda?"
"Dalam 7 hari terakhir, seberapa parah energi Anda berkurang (tertarik dan ingin melakukan sesuatu tetapi tidak memiliki energi)?"
"Dalam 7 hari terakhir, seberapa parah rasa lelah (kebutuhan untuk tidur) yang pernah Anda rasakan pada kondisi terburuk Anda?"
"Dalam 7 hari terakhir, seberapa parah gejala Anda memburuk setelah melakukan aktivitas fisik atau mental pada kondisi paling buruk?"
Skor Mentah Skala Kelelahan
"Dalam 7 hari terakhir, seberapa parah Anda sulit untuk mengingat hal-hal yang paling buruk?"
"Dalam 7 hari terakhir, seberapa parah ingatan Anda hilang?"
"Dalam 7 hari terakhir, seberapa parah Anda sulit fokus dan konsentrasi (merasa lemot, bingung, atau blank)?"
"Dalam 7 hari terakhir, seberapa sering Anda merasa bingung dengan apa yang terjadi di sekitar Anda?"
"Dalam 7 hari terakhir, seberapa sering Anda mengalami kesulitan berkonsentrasi?"
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda dalam merencanakan sesuatu?"
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda dalam menemukan kata (tidak dapat memikirkan kata yang ingin Anda ucapkan atau tulis)?"
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda memahami perkataan orang lain?"
"Dalam 7 hari terakhir, seberapa parah Anda cadel dalam berbicara?"
"Dalam 7 hari terakhir, seberapa parah Anda mengalami kesulitan membaca (Tidak terkait dengan disleksia)?"
"Skor Mentah Skala Ingatan, Pikiran & Komunikasi:"
"Dalam 7 hari terakhir, seberapa parah tremor (guncangan atau gemetar yang tidak terkendali pada sebagian tubuh Anda) yang pernah Anda rasakan?"
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda dalam menjaga keseimbangan tubuh?"
"Dalam 7 hari terakhir, seberapa parah kesulitan Anda dalam bergerak dan berkoordinasi?"
Skor Mentah Skala Gerakan
